t1,R1,t2,R2
0,122,0,127.5
110,121,60,110.7
150,120,90,109
210,119,120,107.5
240,118,150,106.3
300,117.4,180,104.6
360,116.4,210,103.2
420,115.3,240,101.8
480,114.3,270,100.4
540,113.3,300,99
600,112.4,330,97.9
660,111.3,360,96.7
720,110.4,390,95.4
794,109.5,420,94.3
840,108.7,450,93.1
900,107.9,480,91.4
960,107.1,510,90.8
1020,106.3,540,89.8
1080,105.5,570,88.7
1140,104.9,600,87.7
1200,104.2,630,86.7
1260,103.5,660,85.6
1320,103,690,84.7
1380,102.3,720,83.8
,,750,82.9
,,780,82
,,810,81.4
,,840,80.6
,,870,79.9
,,900,79
